Lot_Frontage,Lot_Area,Bldg_Type,House_Style,Overall_Cond,Year_Built,Exter_Cond,Total_Bsmt_SF,First_Flr_SF,Second_Flr_SF,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Fireplaces,Longitude,Latitude,Sale_Price
141,31770,OneFam,One_Story,Average,1960,Typical,1080,1656,0,1,0,3,1,2,-93.619754,42.054035,215000
80,11622,OneFam,One_Story,Above_Average,1961,Typical,882,896,0,1,0,2,1,0,-93.619756,42.053014,105000
81,14267,OneFam,One_Story,Above_Average,1958,Typical,1329,1329,0,1,1,3,1,0,-93.6193873,42.052659,172000
93,11160,OneFam,One_Story,Average,1968,Typical,2110,2110,0,2,1,3,1,2,-93.61732,42.051245,244000
74,13830,OneFam,Two_Story,Average,1997,Typical,928,928,701,2,1,3,1,1,-93.638933,42.060899,189900
78,9978,OneFam,Two_Story,Above_Average,1998,Typical,926,926,678,2,1,3,1,1,-93.638925,42.060779,195500
41,4920,TwnhsE,One_Story,Average,2001,Typical,1338,1338,0,2,0,2,1,0,-93.633792,42.062978,213500
43,5005,TwnhsE,One_Story,Average,1992,Typical,1280,1280,0,2,0,2,1,0,-93.633826,42.060728,191500
39,5389,TwnhsE,One_Story,Average,1995,Typical,1595,1616,0,2,0,2,1,1,-93.632852,42.06112,236500
60,7500,OneFam,Two_Story,Average,1999,Typical,994,1028,776,2,1,3,1,1,-93.639068,42.059193,189000
75,10000,OneFam,Two_Story,Average,1993,Typical,763,763,892,2,1,3,1,1,-93.636947,42.05848,175900
0,7980,OneFam,One_Story,Good,1992,Good,1168,1187,0,2,0,3,1,0,-93.635951,42.057419,185000
63,8402,OneFam,Two_Story,Average,1998,Typical,789,789,676,2,1,3,1,1,-93.638647,42.058151,180400
85,10176,OneFam,One_Story,Average,1990,Typical,1300,1341,0,1,1,2,1,1,-93.634626,42.057268,171500
0,6820,TwnhsE,One_Story,Average,1985,Typical,1488,1502,0,1,1,1,1,0,-93.632913,42.059169,212000
47,53504,OneFam,Two_Story,Average,2003,Typical,1650,1690,1589,3,1,4,1,1,-93.62655,42.061239,538000
152,12134,OneFam,One_and_Half_Fin,Good,1988,Typical,559,1080,672,2,0,4,1,0,-93.6235954,42.0603514,164000
140,19138,OneFam,One_Story,Average,1951,Typical,864,864,0,1,0,2,1,0,-93.622971,42.056673,141000
85,13175,OneFam,One_Story,Above_Average,1978,Typical,1542,2073,0,2,0,3,1,2,-93.636655,42.054453,210000
105,11751,OneFam,One_Story,Above_Average,1977,Typical,1844,1844,0,2,0,3,1,1,-93.633962,42.050346,190000
0,7500,OneFam,Two_Story,Average,2000,Typical,814,814,860,2,1,3,1,0,-93.639366,42.049297,216000
0,11241,OneFam,One_Story,Good,1970,Typical,1004,1004,0,1,0,2,1,1,-93.626231,42.055147,149000
0,12537,OneFam,One_Story,Above_Average,1971,Typical,1078,1078,0,1,1,3,1,1,-93.626537,42.054592,149900
65,8450,OneFam,One_Story,Above_Average,1968,Typical,1056,1056,0,1,0,3,1,1,-93.628806,42.055227,142000
70,8400,OneFam,One_Story,Average,1970,Typical,882,882,0,1,0,2,1,0,-93.627112,42.053395,126000
70,10500,OneFam,One_Story,Average,1971,Typical,864,864,0,1,0,3,1,1,-93.622769,42.056375,115000
26,5858,TwnhsE,One_Story,Average,1999,Typical,1405,1337,0,2,0,2,1,1,-93.624373,42.055318,184000
21,1680,Twnhs,Two_Story,Average,1971,Typical,483,483,504,1,1,2,1,0,-93.627271,42.051835,96000
21,1680,Twnhs,Two_Story,Average,1971,Typical,525,525,567,1,1,3,1,0,-93.627536,42.051684,105500
53,4043,TwnhsE,One_Story,Average,1977,Typical,1069,1069,0,2,0,2,1,1,-93.627232,42.049672,127500
24,2280,Twnhs,Two_Story,Above_Average,1975,Typical,855,855,601,2,1,3,1,1,-93.625924,42.050683,149900
24,2280,Twnhs,One_Story,Above_Average,1975,Typical,836,836,0,1,0,2,1,0,-93.625966,42.050681,120000
24,2280,Twnhs,Two_Story,Average,1978,Typical,855,855,601,2,1,3,1,1,-93.625848,42.049811,146000
98,11478,OneFam,One_Story,Average,2007,Typical,1704,1704,0,2,0,3,1,1,-93.654645,42.062109,306000
90,11520,OneFam,One_Story,Average,2005,Typical,1698,1698,0,2,0,3,1,1,-93.65332,42.0608079,275000
79,14122,OneFam,One_Story,Average,2005,Typical,1822,1822,0,2,0,3,1,1,-93.652336,42.060879,259000
70,10171,OneFam,One_Story,Average,2004,Typical,1517,1535,0,2,0,3,1,0,-93.652307,42.060298,214000
110,14300,OneFam,One_Story,Average,2003,Typical,2846,2696,0,2,1,3,1,2,-93.656067,42.058599,500000
105,13650,OneFam,Two_Story,Average,2002,Typical,1671,1687,563,2,1,3,1,1,-93.654853,42.057102,320000
61,7658,TwnhsE,One_Story,Average,2005,Typical,1752,1752,0,2,0,2,1,1,-93.654121,42.057164,319900
41,7132,TwnhsE,One_Story,Average,2006,Typical,1370,1370,0,2,0,2,1,1,-93.649447,42.058252,205000
36,2628,Twnhs,Two_Story,Average,2003,Typical,764,764,862,2,1,2,1,0,-93.651013,42.057181,175500
100,18494,OneFam,One_Story,Average,2005,Typical,1324,1324,0,2,0,3,1,0,-93.644356,42.061928,199500
43,3203,TwnhsE,One_Story,Average,2006,Typical,1145,1145,0,2,0,2,1,0,-93.641635,42.06257,160000
43,3182,TwnhsE,One_Story,Average,2004,Typical,1256,1269,0,2,0,2,1,1,-93.642252,42.062303,192000
67,13300,OneFam,SLvl,Average,2004,Typical,384,744,630,2,1,3,1,1,-93.644076,42.061443,184500
0,7851,OneFam,Two_Story,Average,2002,Typical,860,860,1100,2,1,4,1,2,-93.641487,42.060977,216500
63,8577,OneFam,Two_Story,Average,2004,Typical,847,847,886,2,1,3,1,1,-93.642447,42.061193,185088
0,7750,OneFam,SLvl,Average,2000,Typical,384,774,656,2,1,3,1,1,-93.641325,42.060936,180000
0,9505,OneFam,Two_Story,Average,2001,Typical,884,884,1151,2,1,3,1,1,-93.641337,42.057103,222500
108,14774,OneFam,Two_Story,Average,1999,Typical,1393,1422,1177,2,1,4,1,1,-93.651381,42.054386,333168
60,17433,OneFam,Two_Story,Average,1998,Typical,1629,1645,830,2,1,4,1,1,-93.652334,42.053243,355000
59,10593,OneFam,One_Story,Average,1996,Typical,1720,1720,0,2,0,3,1,1,-93.654206,42.051721,260400
98,12256,OneFam,Two_Story,Average,1994,Typical,1463,1500,1122,2,1,3,1,2,-93.653616,42.051674,325000
92,11764,OneFam,Two_Story,Good,1999,Typical,1152,1164,1106,2,1,4,1,1,-93.650356,42.052457,290000
58,16770,OneFam,Two_Story,Average,1998,Typical,1195,1195,644,2,1,4,1,0,-93.650578,42.052437,221000
56,14720,OneFam,One_and_Half_Fin,Average,1995,Typical,2033,2053,1185,2,1,4,1,1,-93.652972,42.050909,410000
73,8987,OneFam,One_Story,Average,2005,Typical,1595,1595,0,2,0,2,1,1,-93.642368,42.05306,221500
72,8640,OneFam,Two_Story,Average,2009,Typical,756,764,783,2,1,3,1,0,-93.650318,42.051653,215200
75,9000,OneFam,One_Story,Average,2008,Typical,1566,1566,0,2,0,3,1,0,-93.647105,42.050084,262500
100,12552,OneFam,Two_Story,Average,2004,Typical,991,991,956,2,1,3,1,1,-93.642773,42.052347,254900
84,10440,OneFam,One_Story,Average,2005,Typical,1468,1468,0,2,0,2,1,1,-93.642224,42.051429,271500
76,10142,OneFam,Two_Story,Average,2004,Typical,956,956,1128,2,1,4,1,0,-93.692309,42.036255,233000
70,11920,OneFam,Two_Story,Average,2004,Typical,831,831,828,2,1,3,1,0,-93.692412,42.036113,181000
0,8880,OneFam,Two_Story,Average,1994,Typical,948,1222,888,2,1,3,1,2,-93.68981,42.036026,205000
50,8012,TwnhsE,One_Story,Average,1980,Typical,923,923,0,2,0,2,1,1,-93.686417,42.03548,143000
70,11218,OneFam,Two_Story,Average,1992,Typical,1055,1055,790,2,1,3,1,1,-93.687694,42.036659,189000
55,7892,TwnhsE,One_Story,Average,1979,Typical,918,918,0,2,0,2,1,1,-93.686263,42.034589,99500
50,7175,TwnhsE,One_Story,Average,1984,Typical,744,752,0,1,0,2,1,0,-93.686264,42.0347,125000
0,9453,OneFam,Two_Story,Good,1993,Typical,996,1014,730,2,1,3,1,0,-93.68628,42.036633,194500
81,9672,OneFam,One_Story,Average,1984,Typical,1040,1097,0,2,0,3,1,0,-93.685028,42.034555,152000
70,8400,OneFam,Two_Story,Above_Average,1980,Typical,650,888,676,2,1,3,1,1,-93.685029,42.034678,171000
70,9800,OneFam,One_Story,Average,1920,Fair,816,1012,0,1,0,2,1,0,-93.6790694,42.0360754,67500
68,8930,Duplex,One_and_Half_Fin,Average,1978,Typical,0,1318,584,2,0,4,2,0,-93.677205,42.036535,112000
88,11782,OneFam,SFoyer,Good,1961,Typical,1109,1155,0,1,0,3,1,0,-93.673669,42.034793,148000
65,8450,OneFam,One_Story,Very_Good,1965,Good,894,894,0,1,0,3,1,1,-93.670956,42.035685,138500
0,9819,OneFam,One_Story,Average,1967,Good,882,900,0,1,0,3,1,0,-93.672096,42.034856,122000
75,7500,OneFam,One_Story,Average,1963,Typical,1040,1040,0,1,1,3,1,0,-93.672067,42.03457,133000
0,6897,OneFam,One_Story,Very_Good,1962,Good,1040,1040,0,1,1,3,1,0,-93.669688,42.035333,127000
107,10186,OneFam,Two_Story,Average,1992,Typical,750,1061,862,2,1,3,1,1,-93.646749,42.048253,190000
85,13143,OneFam,Two_Story,Average,1993,Typical,1231,1251,1098,2,1,4,1,1,-93.651773,42.046825,362500
88,11134,OneFam,Two_Story,Average,1992,Typical,1390,1402,823,2,1,4,1,1,-93.652773,42.045773,285000
25,4835,TwnhsE,One_Story,Average,2004,Typical,1488,1488,0,2,0,2,1,1,-93.647988,42.047452,260000
39,3515,TwnhsE,Two_Story,Average,2004,Typical,840,840,840,2,1,2,1,0,-93.64614,42.048086,190000
30,3215,TwnhsE,Two_Story,Average,2004,Typical,600,600,600,2,1,2,1,0,-93.645599,42.048566,155000
30,3182,TwnhsE,Two_Story,Average,2004,Typical,600,600,600,2,1,2,1,0,-93.644889,42.047899,151000
24,2544,Twnhs,Two_Story,Average,2004,Typical,600,600,600,2,1,2,1,0,-93.644889,42.047876,149500
